image,baseline_iou,baseline_dice,baseline_pixel_error,iter_iou,iter_dice,iter_pixel_error,iou_delta,improved
banana1,0.8858091623646223,0.9394472993798622,0.03291015625,0.8527559937166396,0.9205270382161937,0.042783203125,-0.03305316864798269,False
banana2,0.9227169008852005,0.9598052635418042,0.019404296875,0.9393379502695316,0.968720227579707,0.015283203125,0.016621049384331066,True
banana3,0.5897304932795725,0.7419251197263932,0.16734375,0.8755123381747478,0.9336247172085235,0.03371419270833333,0.28578184489517533,True
book,0.8766295222036588,0.9342595454581404,0.0526171875,0.939742660376456,0.9689353949601492,0.023811848958333333,0.06311313817279729,True
bool,0.4232929005977188,0.5948078577781915,0.18916239316239317,0.39054454672608124,0.5617145421850528,0.2003076923076923,-0.03274835387163755,False
bush,0.5107541344745814,0.6761578509956743,0.14145185185185186,0.5130618938711365,0.6781770077607052,0.13965925925925926,0.0023077593965551424,True
ceramic,0.8898788176140108,0.9417310880678486,0.03798177083333333,0.821030140294019,0.9017205395199637,0.06162109375,-0.06884867731999178,False
cross,0.4651588225489903,0.6349602724157051,0.4288,0.5984006529842939,0.74874925991434,0.25147407407407407,0.13324183043530358,True
doll,0.9554870302733733,0.977236888285368,0.017130713852025328,0.9642143618628386,0.9817811951526396,0.013629661170644777,0.00872733158946526,True
elefant,0.8300463465073297,0.9071315030807665,0.06732421875,0.851164676950201,0.9195990908302087,0.05734375,0.02111833044287137,True
flower,0.986079613529766,0.992991022930096,0.0027962962962962963,0.9851112504891866,0.9924997908771388,0.002988888888888889,-0.0009683630405794563,False
fullmoon,0.9724743192408024,0.9860451005669914,0.00178409825468649,0.9743205434677937,0.9869932688401745,0.0016612798965740141,0.001846224226991322,True
grave,0.9016375365026841,0.9482748622651744,0.013214814814814815,0.9399554797218943,0.9690485060581322,0.007692592592592593,0.038317943219210227,True
llama,0.643147281373984,0.7828236563629165,0.09093488438076323,0.9060957443436605,0.9507347645389795,0.016892335660955323,0.26294846296967644,True
memorial,0.8988563929340296,0.9467344621518811,0.019981481481481482,0.9132960370964835,0.9546834565992759,0.016474074074074075,0.014439644162453913,True
music,0.9661060801983664,0.982760889586276,0.012366536458333334,0.9662409980370498,0.9828306896272365,0.012314453125,0.00013491783868335716,False
person1,0.9434938997600801,0.9709255067654724,0.017222222222222222,0.9774700655522687,0.988606687484071,0.006592592592592593,0.03397616579218854,True
person2,0.8548047652889097,0.9217193974113636,0.02861851851851852,0.8551589556883945,0.9219252647502332,0.028314814814814813,0.00035419039948481057,False
person3,0.7063999123541893,0.8279418057161331,0.029785185185185185,0.645497422374118,0.784562058374782,0.03591111111111111,-0.060902489980071306,False
person4,0.9310919369050661,0.9643165290175818,0.012866666666666667,0.9288840479071416,0.9631310382964596,0.0133,-0.0022078889979244565,False
person5,0.931497103316826,0.964533782336231,0.004992592592592593,0.9275235496511286,0.9623991881385889,0.0052148148148148145,-0.003973553665697405,False
person6,0.713931776272353,0.8330924091098775,0.03506666666666667,0.7442288762345846,0.8533614898535734,0.029833333333333333,0.03029709996223151,True
person7,0.8906822048733727,0.9421807668973387,0.007851851851851851,0.8818938336237198,0.9372407920860985,0.008462962962962964,-0.008788371249652926,False
person8,0.9322536388290689,0.964939198555742,0.013984375,0.9220730032836955,0.9594567966028487,0.01607421875,-0.010180635545373407,False
scissors,0.40483278695651614,0.5763430220525554,0.16724934895833332,0.8488275269051323,0.9182333284771433,0.0183203125,0.44399473994861616,True
sheep,0.9518844708618129,0.9753491920979612,0.0027518518518518517,0.9520383692428519,0.9754299753975885,0.0027407407407407406,0.0001538983810389638,False
stone1,0.801266359855066,0.88967004293528,0.039641927083333334,0.7378358869920628,0.8491433426077393,0.052021484375,-0.06343047286300318,False
stone2,0.9863294600007055,0.9931176875364424,0.0033854166666666668,0.9860265797196638,0.9929641322915684,0.0034602864583333334,-0.0003028802810417508,False
teddy,0.9636085503416284,0.9814670547996747,0.007997735154646472,0.9748291245047751,0.9872541501525925,0.005440937079765023,0.011220574163146702,True
tennis,0.5921056626509152,0.7438019680993249,0.056923728813559324,0.67053396698803,0.8027780101915577,0.039949152542372884,0.07842830433711478,True
