image,iou,dice,pixel_error,boundary_error,interior_error,boundary_pixels,interior_pixels
banana1,0.8858091623646223,0.9394472993798622,0.03291015625,0.1770534861508862,0.018630557956400395,8376,72891
banana2,0.9227169008852005,0.9598052635418042,0.019404296875,0.3965081276339077,0.014699311947100129,8305,67146
banana3,0.5897304932795725,0.7419251197263932,0.16734375,0.34770546757596255,0.026056679699762747,8651,70078
book,0.8766295222036588,0.9342595454581404,0.0526171875,0.18582013656832982,0.00012812768839346066,6883,109266
bool,0.4232929005977188,0.5948078577781915,0.18916239316239317,0.06258634982038372,0.004145519352214012,7238,25811
bush,0.5107541344745814,0.6761578509956743,0.14145185185185186,0.17521635519877396,0.1597688386412921,7973,39626
ceramic,0.8898788176140108,0.9417310880678486,0.03798177083333333,0.21183836084232077,0.006945154873543541,8785,87975
cross,0.4651588225489903,0.6349602724157051,0.4288,0.006247559547051119,0.010021383206204213,7683,93999
doll,0.9554870302733733,0.977236888285368,0.017130713852025328,0.14155251141550024,0.0,5694,88379
elefant,0.8300463465073297,0.9071315030807665,0.06732421875,0.14539516655778637,0.0,7655,94468
flower,0.986079613529766,0.992991022930096,0.0027962962962962963,0.0990045248868599,0.0,5525,48504
fullmoon,0.9724743192408024,0.9860451005669914,0.00178409825468649,0.0,0.0,1709,8042
grave,0.9016375365026841,0.9482748622651744,0.013214814814814815,0.14324927088692,0.0019088780839185337,5829,27765
llama,0.643147281373984,0.7828236563629165,0.09093488438076323,0.3366127898804552,0.028301240320700735,4269,29186
memorial,0.8988563929340296,0.9467344621518811,0.019981481481481482,0.3755047106324984,0.026760440708966018,5201,45926
music,0.9661060801983664,0.982760889586276,0.012366536458333334,0.1757818517947657,0.0,6491,102936
person1,0.9434938997600801,0.9709255067654724,0.017222222222222222,0.08674738762645766,0.0,6029,72136
person2,0.8548047652889097,0.9217193974113636,0.02861851851851852,0.08385308385306448,0.0,4329,41525
person3,0.7063999123541893,0.8279418057161331,0.029785185185185185,0.38819568231325247,0.26528399078214876,5049,22131
person4,0.9310919369050661,0.9643165290175818,0.012866666666666667,0.273438829334648,0.03755413208227992,5877,44336
person5,0.931497103316826,0.964533782336231,0.004992592592592593,0.1966640806826616,0.005118855620222627,5156,14261
person6,0.713931776272353,0.8330924091098775,0.03506666666666667,0.3752642706130417,0.19410112359549783,5676,24920
person7,0.8906822048733727,0.9421807668973387,0.007851851851851851,0.2702634880802333,0.06362036373117375,3985,15341
person8,0.9322536388290689,0.964939198555742,0.013984375,0.36005434782601703,0.029470572894027134,5152,57515
scissors,0.40483278695651614,0.5763430220525554,0.16724934895833332,0.09617519426782761,0.0,9909,25992
sheep,0.9518844708618129,0.9753491920979612,0.0027518518518518517,0.05457516339867498,0.0,3060,11806
stone1,0.801266359855066,0.88967004293528,0.039641927083333334,0.28799999999994513,0.16692071770949723,5250,54451
stone2,0.9863294600007055,0.9931176875364424,0.0033854166666666668,0.15575959933219435,0.0007710650693244503,5990,70033
teddy,0.9636085503416284,0.9814670547996747,0.007997735154646472,0.03670618807860375,0.0,6157,18006
tennis,0.5921056626509152,0.7438019680993249,0.056923728813559324,0.16724587315375508,0.02922903134707503,6906,14164
